,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,1.95%,1.34%,1.902607858,21.86%,60.00%,40.00%,0.488,0.609,0.781,0.800,0.680,0.333
2,0.000,1.000,0.000,0.000,0.000,0.000,2.38%,0.64%,1.26328667,12.87%,55.00%,65.00%,0.505,0.508,0.444,0.414,0.560,0.667
3,0.000,0.000,1.000,0.000,0.000,0.000,8.03%,2.65%,1.894339115,20.83%,55.00%,50.00%,0.728,0.800,0.776,0.756,0.560,0.467
4,0.000,0.000,0.000,1.000,0.000,0.000,-0.67%,0.07%,1.425453672,15.55%,55.00%,35.00%,0.385,0.426,0.529,0.529,0.560,0.267
5,0.000,0.000,0.000,0.000,1.000,0.000,2.20%,0.44%,1.094578724,10.67%,65.00%,70.00%,0.498,0.479,0.355,0.320,0.800,0.733
6,0.000,0.000,0.000,0.000,0.000,1.000,-5.34%,-1.49%,0.8599948142,8.89%,40.00%,30.00%,0.200,0.200,0.231,0.243,0.200,0.200
7,0.500,0.500,0.000,0.000,0.000,0.000,6.19%,1.63%,1.392192441,14.41%,55.00%,65.00%,0.656,0.652,0.512,0.480,0.560,0.667
8,0.500,0.000,0.500,0.000,0.000,0.000,6.17%,2.34%,1.939118385,21.82%,60.00%,50.00%,0.655,0.754,0.800,0.798,0.680,0.467
9,0.000,0.500,0.500,0.000,0.000,0.000,7.82%,1.97%,1.354461574,13.77%,55.00%,70.00%,0.720,0.700,0.492,0.453,0.560,0.733
10,0.500,0.000,0.000,0.500,0.000,0.000,6.85%,1.90%,1.524957345,16.28%,55.00%,40.00%,0.682,0.691,0.582,0.561,0.560,0.333
11,0.000,0.500,0.000,0.500,0.000,0.000,4.73%,1.23%,1.247375502,13.18%,65.00%,65.00%,0.598,0.594,0.435,0.427,0.800,0.667
12,0.000,0.000,0.500,0.500,0.000,0.000,9.84%,2.64%,1.591408676,16.61%,60.00%,55.00%,0.800,0.797,0.617,0.575,0.680,0.533
13,0.500,0.000,0.000,0.000,0.500,0.000,2.56%,0.74%,1.420759482,14.60%,55.00%,50.00%,0.512,0.522,0.527,0.488,0.560,0.467
14,0.000,0.500,0.000,0.000,0.500,0.000,4.60%,1.07%,1.091537185,10.99%,65.00%,75.00%,0.593,0.571,0.353,0.333,0.800,0.800
15,0.000,0.000,0.500,0.000,0.500,0.000,4.17%,1.10%,1.419546406,14.24%,55.00%,50.00%,0.576,0.575,0.526,0.473,0.560,0.467
16,0.000,0.000,0.000,0.500,0.500,0.000,3.57%,0.95%,1.203244498,12.94%,65.00%,60.00%,0.552,0.553,0.412,0.417,0.800,0.600
17,0.500,0.000,0.000,0.000,0.000,0.500,-2.34%,-0.62%,0.9773247838,10.69%,65.00%,45.00%,0.318,0.326,0.293,0.321,0.800,0.400
18,0.000,0.500,0.000,0.000,0.000,0.500,0.62%,0.02%,0.8641217199,8.73%,60.00%,50.00%,0.436,0.417,0.233,0.236,0.680,0.467
19,0.000,0.000,0.500,0.000,0.000,0.500,1.53%,0.33%,1.066938445,10.90%,55.00%,60.00%,0.472,0.463,0.340,0.330,0.560,0.600
20,0.000,0.000,0.000,0.500,0.000,0.500,0.11%,-0.06%,1.007703752,10.34%,55.00%,50.00%,0.415,0.406,0.309,0.305,0.560,0.467
21,0.000,0.000,0.000,0.000,0.500,0.500,1.00%,0.07%,0.8007924831,7.88%,55.00%,45.00%,0.451,0.426,0.200,0.200,0.560,0.400
22,0.333,0.333,0.333,0.000,0.000,0.000,7.80%,2.13%,1.509222791,15.80%,55.00%,65.00%,0.720,0.724,0.573,0.540,0.560,0.667
23,0.333,0.333,0.000,0.333,0.000,0.000,6.43%,1.61%,1.347686367,13.80%,60.00%,50.00%,0.665,0.649,0.488,0.454,0.680,0.467
24,0.333,0.000,0.333,0.333,0.000,0.000,6.83%,2.02%,1.674320028,17.71%,55.00%,40.00%,0.681,0.708,0.660,0.622,0.560,0.333
25,0.000,0.333,0.333,0.333,0.000,0.000,8.05%,2.00%,1.331837873,13.57%,55.00%,65.00%,0.729,0.706,0.480,0.444,0.560,0.667
26,0.333,0.333,0.000,0.000,0.333,0.000,4.53%,1.09%,1.256505421,12.43%,60.00%,70.00%,0.590,0.573,0.440,0.395,0.680,0.733
27,0.333,0.000,0.333,0.000,0.333,0.000,6.73%,1.97%,1.614018023,17.39%,55.00%,60.00%,0.677,0.700,0.629,0.608,0.560,0.600
28,0.000,0.333,0.333,0.000,0.333,0.000,5.02%,1.18%,1.210946554,11.96%,55.00%,65.00%,0.609,0.587,0.416,0.375,0.560,0.667
29,0.333,0.000,0.000,0.333,0.333,0.000,5.02%,1.26%,1.340314875,13.66%,60.00%,55.00%,0.609,0.598,0.484,0.448,0.680,0.533
30,0.000,0.333,0.000,0.333,0.333,0.000,4.26%,1.07%,1.159335809,12.22%,65.00%,60.00%,0.580,0.570,0.389,0.386,0.800,0.600
31,0.000,0.000,0.333,0.333,0.333,0.000,7.89%,1.98%,1.374120287,14.05%,60.00%,65.00%,0.723,0.702,0.502,0.465,0.680,0.667
32,0.333,0.333,0.000,0.000,0.000,0.333,1.69%,0.32%,0.9112575381,9.66%,65.00%,45.00%,0.478,0.462,0.258,0.276,0.800,0.400
33,0.333,0.000,0.333,0.000,0.000,0.333,0.02%,0.08%,1.221239365,13.00%,60.00%,50.00%,0.412,0.427,0.422,0.420,0.680,0.467
34,0.000,0.333,0.333,0.000,0.000,0.333,4.58%,1.02%,1.00204896,10.09%,55.00%,55.00%,0.592,0.563,0.306,0.295,0.560,0.533
35,0.333,0.000,0.000,0.333,0.000,0.333,2.08%,0.48%,1.117253227,11.73%,55.00%,55.00%,0.493,0.485,0.367,0.365,0.560,0.533
36,0.000,0.333,0.000,0.333,0.000,0.333,2.22%,0.43%,0.9485203118,9.71%,55.00%,40.00%,0.499,0.478,0.278,0.278,0.560,0.333
37,0.000,0.000,0.333,0.333,0.000,0.333,4.62%,1.12%,1.204041067,12.43%,55.00%,45.00%,0.594,0.577,0.413,0.395,0.560,0.400
38,0.333,0.000,0.000,0.000,0.333,0.333,1.77%,0.31%,0.9248534122,9.36%,60.00%,50.00%,0.481,0.460,0.265,0.263,0.680,0.467
39,0.000,0.333,0.000,0.000,0.333,0.333,2.40%,0.43%,0.8579328168,8.48%,65.00%,45.00%,0.506,0.478,0.230,0.226,0.800,0.400
40,0.000,0.000,0.333,0.000,0.333,0.333,1.72%,0.27%,0.9053524195,8.98%,55.00%,50.00%,0.479,0.455,0.255,0.247,0.560,0.467
41,0.000,0.000,0.000,0.333,0.333,0.333,1.00%,0.11%,0.8891535204,9.09%,60.00%,45.00%,0.451,0.431,0.247,0.252,0.680,0.400
42,0.250,0.250,0.250,0.250,0.000,0.000,9.61%,2.47%,1.481031267,15.36%,55.00%,50.00%,0.791,0.773,0.559,0.521,0.560,0.467
43,0.250,0.250,0.250,0.000,0.250,0.000,5.80%,1.46%,1.347108913,13.66%,55.00%,70.00%,0.640,0.627,0.488,0.448,0.560,0.733
44,0.250,0.250,0.000,0.250,0.250,0.000,6.42%,1.56%,1.217077907,12.51%,65.00%,65.00%,0.665,0.641,0.419,0.399,0.800,0.667
45,0.250,0.000,0.250,0.250,0.250,0.000,6.56%,1.81%,1.579028222,16.25%,55.00%,45.00%,0.670,0.677,0.610,0.559,0.560,0.400
46,0.000,0.250,0.250,0.250,0.250,0.000,6.77%,1.67%,1.269450205,13.04%,60.00%,55.00%,0.679,0.658,0.447,0.421,0.680,0.533
47,0.250,0.250,0.250,0.000,0.000,0.250,4.29%,1.04%,1.136064633,11.75%,60.00%,60.00%,0.581,0.566,0.377,0.366,0.680,0.600
48,0.250,0.250,0.000,0.250,0.000,0.250,3.36%,0.73%,0.9969551428,10.25%,55.00%,60.00%,0.544,0.520,0.303,0.301,0.560,0.600
49,0.250,0.000,0.250,0.250,0.000,0.250,4.36%,1.16%,1.312257301,13.93%,60.00%,50.00%,0.584,0.583,0.470,0.460,0.680,0.467
50,0.000,0.250,0.250,0.250,0.000,0.250,5.13%,1.17%,1.071879778,10.85%,60.00%,60.00%,0.614,0.585,0.343,0.327,0.680,0.600
51,0.250,0.250,0.000,0.000,0.250,0.250,2.39%,0.42%,0.852324781,8.39%,55.00%,55.00%,0.506,0.476,0.227,0.222,0.560,0.533
52,0.250,0.000,0.250,0.000,0.250,0.250,2.07%,0.45%,1.094061693,11.22%,60.00%,60.00%,0.493,0.480,0.355,0.343,0.680,0.600
53,0.000,0.250,0.250,0.000,0.250,0.250,3.74%,0.76%,0.9063474138,8.92%,55.00%,65.00%,0.559,0.526,0.256,0.245,0.560,0.667
54,0.250,0.000,0.000,0.250,0.250,0.250,3.09%,0.64%,0.9793829524,10.05%,55.00%,65.00%,0.533,0.508,0.294,0.293,0.560,0.667
55,0.000,0.250,0.000,0.250,0.250,0.250,1.86%,0.34%,0.8921183029,9.20%,65.00%,40.00%,0.485,0.464,0.248,0.257,0.800,0.333
56,0.000,0.000,0.250,0.250,0.250,0.250,3.67%,0.79%,1.048570622,10.51%,60.00%,55.00%,0.556,0.530,0.331,0.313,0.680,0.533
57,0.200,0.200,0.200,0.200,0.200,0.000,8.05%,2.00%,1.371974486,13.92%,55.00%,60.00%,0.729,0.705,0.501,0.459,0.560,0.600
58,0.200,0.200,0.200,0.200,0.000,0.200,5.49%,1.30%,1.181784489,11.92%,55.00%,55.00%,0.628,0.603,0.401,0.373,0.560,0.533
59,0.200,0.200,0.200,0.000,0.200,0.200,3.47%,0.74%,1.010770576,10.08%,55.00%,65.00%,0.548,0.522,0.311,0.294,0.560,0.667
60,0.200,0.200,0.000,0.200,0.200,0.200,3.37%,0.68%,0.9184444854,9.20%,60.00%,60.00%,0.544,0.514,0.262,0.257,0.680,0.600
61,0.200,0.000,0.200,0.200,0.200,0.200,4.49%,1.04%,1.162878127,11.82%,55.00%,50.00%,0.588,0.566,0.391,0.369,0.560,0.467
62,0.000,0.200,0.200,0.200,0.200,0.200,4.05%,0.88%,0.998392017,10.06%,60.00%,65.00%,0.571,0.542,0.304,0.293,0.680,0.667
63,0.167,0.167,0.167,0.167,0.167,0.167,5.75%,1.29%,1.048489346,10.50%,55.00%,75.00%,0.638,0.602,0.331,0.312,0.560,0.800